시군구명,폐교명,대지,담당자 전화번호,소재지지번주소,_X,_Y,건물연면적,이미지경로,이미지이름
포천시,삼정초금동분교장,3769,031-539-0033,경기도 포천시 신북면 금동리247-1,127.1272851,37.94468877,0,C:\\school\,포천시_삼정초금동분교장.png
포천시,관인초사정분교장,4894,031-539-0033,경기도 포천시 관인면 사정리136-1,127.2533159,38.12358432,650,C:\\school\,포천시_관인초사정분교장.png
포천시,보장초,5076,031-539-0033,경기도 포천시 창수면 오가리424,127.1916503,38.02816092,1751,C:\\school\,포천시_보장초.png
포천시,영북초보광분교장,6417,031-539-0033,경기도 포천시 영북면 야미리276,127.2723857,38.05424376,353,C:\\school\,포천시_영북초보광분교장.png
포천시,냉정초,5381,031-539-0033,경기도 포천시 관인면 냉정리339,127.2751262,38.16191104,3007,C:\\school\,포천시_냉정초.png
포천시,영중초,8257,031-539-0033,경기도 포천시 영중면 성동리891-3,127.2484773,38.01491544,3247,C:\\school\,포천시_영중초.png
포천시,영평초,24969,031-539-0033,경기도 포천시 영중면 영평리240,127.2172686,38.01596937,2663,C:\\school\,포천시_영평초.png
포천시,금주초,7785,031-539-0033,경기도 포천시 영중면 금주리522-1,127.2604087,37.97351855,2209,C:\\school\,포천시_금주초.png
가평군,목동초광악분교장,3681,031-580-5132,경기도 가평군 북면 화악리845,127.5360978,37.94970293,520,C:\\school\,
가평군,상색초두밀분교장,2052,031-580-5132,경기도 가평군 가평읍 두밀리11-2,127.4599473,37.81622432,1014,C:\\school\,가평군_상색초두밀분교.png
가평군,청평초양진분교장,1083,031-580-5132,경기도 가평군 청평면 고성리777-2,127.4812848,37.7102219,639,C:\\school\,가평군_청평초양진분교장.png
가평군,목동초화악분교장,3779,031-580-5132,경기도 가평군 북면 화악리564-1,127.5670335,37.9301483,1275,C:\\school\,
가평군,목동초백둔분교장,7276,031-580-5132,경기도 가평군 북면 백둔리371-2,127.4567395,37.90265013,0,C:\\school\,가평군_목동초백둔분교.png
가평군,조종초운악분교장,4597,031-580-5132,경기도 가평군 조종면 운악리214-6,127.3621537,37.88232516,900,C:\\school\,가평군_조종초운악분교.png
가평군,미원초엄소분교장,965,031-580-5132,경기도 가평군 설악면 엄소리234-30,127.4977386,37.64817238,211,C:\\school\,가평군_미원초엄소분교장.png
가평군,구.목동초,5972,031-580-5132,경기도 가평군 북면 목동리919,127.5468564,37.8891589,1734,C:\\school\,가평군_구.목동초.png
가평군,청평초회곡분교장,2696,031-580-5132,경기도 가평군 설악면 회곡리528,127.4482349,37.70490632,1230,C:\\school\,가평군_청평초양진분교장.png
가평군,목동초도대분교장,3594,031-580-5132,경기도 가평군 북면 도대리139-4,127.4907573,37.92461243,732,C:\\school\,가평군_목동초도대분교장.png
